Center Code	Center Type	Display Name	Short Name	Center	TCGA Platform Code	Platform Alias	Platform Name
01	CGCC	Broad Institute of MIT and Harvard	BI	broad.mit.edu	ABI	ABI	Applied Biosystems Sequence data
09	GSC	Washington University School of Medicine	WUSM	genome.wustl.edu	ABI	ABI	Applied Biosystems Sequence data
10	GSC	Baylor College of Medicine	BCM	hgsc.bcm.edu	ABI	ABI	Applied Biosystems Sequence data
07	CGCC	University of North Carolina	UNC	unc.edu	AgilentG4502A_07_1	AgilentG4502A_07	Agilent 244K Custom Gene Expression G4502A-07-1
07	CGCC	University of North Carolina	UNC	unc.edu	AgilentG4502A_07_2	AgilentG4502A_07	Agilent 244K Custom Gene Expression G4502A-07-2
07	CGCC	University of North Carolina	UNC	unc.edu	AgilentG4502A_07_3	AgilentG4502A_07	Agilent 244K Custom Gene Expression G4502A-07-3
04	CGCC	Memorial Sloan-Kettering Cancer Center	MSKCC	mskcc.org	CGH-1x1M_G4447A	CGH-1x1M_G4447A	Agilent SurePrint G3 Human CGH Microarray Kit 1x1M
01	CGCC	Broad Institute of MIT and Harvard	BI	broad.mit.edu	Genome_Wide_SNP_6	Genome_Wide_SNP_6	Affymetrix Genome-Wide Human SNP Array 6.0
09	GSC	Washington University School of Medicine	WUSM	genome.wustl.edu	Genome_Wide_SNP_6	Genome_Wide_SNP_6	Affymetrix Genome-Wide Human SNP Array 6.0
07	CGCC	University of North Carolina	UNC	unc.edu	H-miRNA_8x15K	H-miRNA_8x15K	Agilent 8 x 15K Human miRNA-specific microarray
07	CGCC	University of North Carolina	UNC	unc.edu	H-miRNA_8x15Kv2	H-miRNA_8x15K	Agilent Human miRNA Microarray Rel12.0
04	CGCC	Memorial Sloan-Kettering Cancer Center	MSKCC	mskcc.org	HG-CGH-244A	HG-CGH-244A	Agilent Human Genome CGH Microarray 244A
02	CGCC	Harvard Medical School	HMS	hms.harvard.edu	HG-CGH-244A	HG-CGH-244A	Agilent Human Genome CGH Microarray 244A
